sample-id	alternative-id	species	sex	red-belly	Diet	dietSpecificity
TBC8	D_B1_8	Drosophila arizonae	female	Yes	general	generalist
TBC16	D_B2_7	Drosophila arizonae	female	No	general	generalist
TBC17	D_B2_8	Drosophila arizonae	female	No	general	generalist
TBC24	D_B3_5	Drosophila arizonae	female	No	general	generalist
TBC25	D_B3_6	Drosophila arizonae	female	No	general	generalist
TBC29	D_B3_10	Drosophila arizonae	female	Yes	general	generalist
TBC31	D_B4_1	Drosophila arizonae	female	Yes	general	generalist
TBC32	D_B4_2	Drosophila arizonae	female	Yes	general	generalist
TBC33	D_B4_3	Drosophila arizonae	female	Yes	general	generalist
TBC34	D_B4_4	Drosophila arizonae	female	Yes	general	generalist
TBC19	D_B2_10	Drosophila melanogaster	female	No	general	generalist
TBC35	D_B4_5	Drosophila melanogaster	female	No	general	generalist
TBC36	D_B4_6	Drosophila melanogaster	female	No	general	generalist
TBC37	D_B4_7	Drosophila melanogaster	female	No	general	generalist
TBC38	D_B4_8	Drosophila melanogaster	female	No	general	generalist
TBC5	D_B1_5	Drosophila mettleri	female	No	saguaro-cactus	specialist
TBC6	D_B1_6	Drosophila mettleri	female	Yes	saguaro-cactus	specialist
TBC14	D_B2_5	Drosophila mettleri	female	No	saguaro-cactus	specialist
TBC15	D_B2_6	Drosophila mettleri	female	No	saguaro-cactus	specialist
TBC22	D_B3_3	Drosophila mettleri	female	No	saguaro-cactus	specialist
TBC23	D_B3_4	Drosophila mettleri	female	No	saguaro-cactus	specialist
TBC3	D_B1_3	Drosophila mojavensis	female	No	organ-pipe-cactus	specialist
TBC4	D_B1_4	Drosophila mojavensis	female	Yes	organ-pipe-cactus	specialist
TBC12	D_B2_3	Drosophila mojavensis	female	No	organ-pipe-cactus	specialist
TBC13	D_B2_4	Drosophila mojavensis	male	No	organ-pipe-cactus	specialist
TBC30	D_B3_11	Drosophila mojavensis	male	Yes	organ-pipe-cactus	specialist
TBC1	D_B1_1	Drosophila nigrospiracula	female	No	saguaro-cactus	specialist
TBC2	D_B1_2	Drosophila nigrospiracula	female	Yes	saguaro-cactus	specialist
TBC20	D_B3_1	Drosophila nigrospiracula	female	No	saguaro-cactus	specialist
TBC21	D_B3_2	Drosophila nigrospiracula	female	No	saguaro-cactus	specialist
TBC26	D_B3_7	Drosophila nigrospiracula	female	Yes	saguaro-cactus	specialist
TBC27	D_B3_8	Drosophila nigrospiracula	female	Yes	saguaro-cactus	specialist
TBC28	D_B3_9	Drosophila nigrospiracula	female	Yes	saguaro-cactus	specialist
