	TBC1	TBC12	TBC13	TBC14	TBC15	TBC16	TBC17	TBC19	TBC2	TBC20	TBC21	TBC22	TBC23	TBC24	TBC25	TBC26	TBC27	TBC28	TBC29	TBC3	TBC30	TBC31	TBC32	TBC33	TBC34	TBC35	TBC36	TBC37	TBC38	TBC4	TBC5	TBC6	TBC8
TBC1	0	0.9182933107380683	0.6823448369178956	0.8327037085364958	0.7825087073826031	0.8495296566793609	0.6763406541925853	0.7927645890042048	0.902996508610144	0.750815880087059	0.7444333554147348	0.6901701685854116	0.9035359414208147	0.7587861964131275	0.7704724205930887	0.8398638021138575	0.737249220286733	0.8465127409090687	0.6774489301342864	0.8836942026848242	0.7186146863265021	0.8366980898019307	0.7684839407722487	0.7068408039071928	0.707907852743254	0.9025704676346114	0.8018720747720405	0.7354021390621124	0.8487373469502461	0.9178752083840513	0.8657935307982261	0.8534655686936751	0.7730129482211456
TBC12	0.9182933107380683	0	0.920290208474042	0.8741687908784792	0.9486011099859668	0.840527441060128	0.9179435241017955	0.9321339182741285	0.8464899965564805	0.9161283512816849	0.9123625140406696	0.9022700744436127	0.8562409709433456	0.9172792660418911	0.8768224941516234	0.8500695057027549	0.90750908353843	0.8159662198363475	0.9023260981201623	0.8809404423165259	0.9108714334061773	0.9416142051903245	0.9208509135348069	0.9210628512661562	0.9165221132647552	0.8703926301703554	0.9371577616398714	0.9145685468267785	0.8493701397369848	0.7992626427562479	0.8639720189754221	0.8792144039409318	0.93194079385837
TBC13	0.6823448369178956	0.920290208474042	0	0.7640452371496402	0.686225367689313	0.7694522154961183	0.5850377149258957	0.7415199075304221	0.8876354490576414	0.6603764357313195	0.6848430334304706	0.626950236341313	0.881054546940649	0.6915098664377738	0.6301336090814246	0.7881771716161855	0.7049146940804724	0.7841545150479341	0.6220086541505889	0.8630195627782544	0.7137950983085484	0.8078504989302813	0.7055615788379564	0.6643529480149193	0.6710779211939215	0.8936359152815513	0.7721846120065912	0.5989771085027552	0.8207016508159859	0.8985325397822186	0.8561428817226394	0.850455928064656	0.6449840798809667
TBC14	0.8327037085364958	0.8741687908784792	0.7640452371496402	0	0.8143056700354369	0.7668268724742212	0.7524175687012477	0.7968050234027187	0.7283750797441575	0.7514068677696791	0.7755684838800896	0.7388772175065876	0.8603769649801076	0.8006982495477647	0.7328593943074998	0.4984023163528054	0.7814649157704442	0.7764591275399513	0.748892186450094	0.8681348455756528	0.7722896203114853	0.8774967902371408	0.7678618641581439	0.8004160039766132	0.7896647067640543	0.8659951963723149	0.8401778880952068	0.8055563847480628	0.541533016482441	0.8634434236935281	0.8576197450088053	0.851089551813381	0.7402688853236686
TBC15	0.7825087073826031	0.9486011099859668	0.686225367689313	0.8143056700354369	0	0.7869898898319051	0.6646279062391964	0.682535894355156	0.9330838286164582	0.6387624899022151	0.6502821201035147	0.6974289773447334	0.9018280715737695	0.6859684003621341	0.7989504089133449	0.8479899655664824	0.6443733181782053	0.8347457568348553	0.7121147198426151	0.8640508390562401	0.7103304839550451	0.7601619672280162	0.6498352333869541	0.6337364895335736	0.7228618284819534	0.9057083942979062	0.7125705240102529	0.7415400888159208	0.86846094714677	0.9303984813170275	0.9121362321408718	0.8678555988404739	0.5355350147042102
TBC16	0.8495296566793609	0.840527441060128	0.7694522154961183	0.7668268724742212	0.7869898898319051	0	0.7828776738509889	0.7790432110583156	0.8766572038447791	0.7100957441734802	0.7324847551368665	0.7621739716161325	0.8706818615116311	0.78463989081209	0.7544239410153589	0.756483099931988	0.7531696505266139	0.5035039594932613	0.7484732339815053	0.8721859073183962	0.7718878276617926	0.8587274026656569	0.7539303675370447	0.7637233757539212	0.7956962454546027	0.8942269256196375	0.8271523061086801	0.8268394917739466	0.7903077291798505	0.7627035887543676	0.8732829954911587	0.8481354394885089	0.7289512230827737
TBC17	0.6763406541925853	0.9179435241017955	0.5850377149258957	0.7524175687012477	0.6646279062391964	0.7828776738509889	0	0.751537336723946	0.8881953119549487	0.6608346902811485	0.6770075208518717	0.5999547254255309	0.8802631938681175	0.6872871077085424	0.7024968320241785	0.7972253102701505	0.6935541918934566	0.8094216791532935	0.5123315361626173	0.846057496029525	0.7063933336191381	0.7860678076121268	0.702639702237873	0.6705734562176612	0.6449507928717405	0.8830705425172451	0.7516927322400893	0.671484958395529	0.8148886880529386	0.9035451706847177	0.8254805978036124	0.847810289784244	0.6502151331829563
TBC19	0.7927645890042048	0.9321339182741285	0.7415199075304221	0.7968050234027187	0.682535894355156	0.7790432110583156	0.751537336723946	0	0.8878840586791062	0.6285210352639538	0.6677795885365624	0.6859473441291376	0.8839610275213166	0.6806445292195757	0.7678076090607188	0.8151448121219809	0.6593304752016766	0.8164775817852937	0.713402444615025	0.8281646976527942	0.7059096711513829	0.6042305262391585	0.658167900584583	0.6331162298392999	0.7308833214946985	0.8865168405253284	0.7089222707302537	0.7139344567582798	0.8260889173604881	0.8906766060514472	0.8556414564740208	0.8102013772905643	0.6697819677799489
TBC2	0.902996508610144	0.8464899965564805	0.8876354490576414	0.7283750797441575	0.9330838286164582	0.8766572038447791	0.8881953119549487	0.8878840586791062	0	0.8864368018439395	0.8868052436005311	0.8604577218669863	0.6727038451423937	0.8908351912419458	0.8432512148146039	0.7240922313219885	0.8892212423778022	0.8577538121403925	0.8776156741023724	0.7699837802411951	0.8799938697534236	0.9167521460444359	0.9040072872277506	0.9055038825855725	0.8880016067007173	0.6905558754198637	0.9218522965446695	0.8932535330055155	0.7188099231188249	0.6889875482767956	0.6842491911773225	0.7605904542619647	0.9063044918889357
TBC20	0.750815880087059	0.9161283512816849	0.6603764357313195	0.7514068677696791	0.6387624899022151	0.7100957441734802	0.6608346902811485	0.6285210352639538	0.8864368018439395	0	0.4965678996241252	0.5628373451705323	0.8513724012192603	0.5572845155062646	0.6801019022059696	0.7337568109798019	0.5316993907283445	0.734245688042713	0.6169857753586122	0.8579741047646402	0.6142940786185829	0.7718180872445912	0.554537444106905	0.5424849657931131	0.6660541572982202	0.8837187061348843	0.7035632579469046	0.6768168483287292	0.8128376981975816	0.8918912956226752	0.8717449730252897	0.8237588614581474	0.5208436811432472
