sample-id	PC1	PC2	species
TBC1	0.0460721850528169	-0.840237682885785	D. nigrospiracula
TBC12	-0.296867928726993	-0.150540436469761	D. mojavensis
TBC13	0.138150541294351	-0.265991088417134	D. mojavensis
TBC14	-0.557651489451423	0.00650321393155499	D. mettleri
TBC15	-0.569238909672658	-0.00309862062534842	D. mettleri
TBC16	0.525444026969189	-0.0390906834931349	D. arizonae
TBC17	0.525680655390838	-0.289275437609308	D. arizonae
TBC19	0.923136476613236	-0.0676095345673454	D. melanogaster
TBC2	-0.552524088800309	-0.0595866106385361	D. nigrospiracula
TBC20	-0.360338730126467	0.294056924614821	D. nigrospiracula
TBC21	0.396382513593049	0.17547612361141	D. nigrospiracula
TBC22	-0.507488804776438	0.0780324220087009	D. mettleri
TBC23	-0.3449322123677	0.0491574410669012	D. mettleri
TBC24	0.0088077276960951	0.568240689191969	D. arizonae
TBC25	0.245112700345279	0.218031475083825	D. arizonae
TBC26	-0.454359871818328	0.04868243467035	D. nigrospiracula
TBC27	-0.480858143631284	-0.0492877772652191	D. nigrospiracula
TBC28	-0.202590440134511	0.0609396004582632	D. nigrospiracula
TBC29	0.606116628534961	-0.0825048141391222	D. arizonae
TBC3	-0.593001553539111	-0.0270092685425044	D. mojavensis
TBC30	-0.228378832648817	-0.520578439550357	D. mojavensis
TBC31	1.03803809505016	-0.0978226022759087	D. arizonae
TBC32	-0.0406528431464155	0.490376791573636	D. arizonae
TBC33	1.01717281416185	-0.073968225588618	D. arizonae
TBC34	0.187713872290424	-0.724829813973622	D. arizonae
TBC35	0.219001965312154	0.233084163686379	D. melanogaster
TBC36	0.20054239622467	0.612936526378307	D. melanogaster
TBC37	0.577483197102558	0.362984318777195	D. melanogaster
TBC38	0.0928653690312705	0.124577859403331	D. melanogaster
TBC4	-0.492772872336214	-0.0546154573973633	D. mojavensis
TBC5	-0.349954083627865	-0.200712781578442	D. mettleri
TBC6	-0.55949552731042	-0.175265885906563	D. mettleri
TBC8	-0.156614832547944	0.398945176467427	D. arizonae
